fecha,afore,comision_sobre_saldo_pct,total_cuentas,trabajadores_registrados,trabajadores_asignados,trabajadores_imss,trabajadores_issste,rcv_imss_mdp,rcv_issste_mdp,ahorro_voluntario_mdp,recursos_administrados_mdp,recursos_registrados_mdp,vivienda_mdp,entradas_mdp,salidas_mdp,traspasos_cedidos,traspasos_recibidos
1997-12-01,banamex,,1368487.0,1368487.0,,1368487.0,,,,,,,,,,,
1997-12-01,inbursa,,294633.0,294633.0,,294633.0,,,,,,,,,,,
1997-12-01,principal,,67816.0,67816.0,,67816.0,,,,,,,,,,,
1997-12-01,profuturo,,1403681.0,1403681.0,,1403681.0,,,,,,,,,,,
1997-12-01,sura,,1029824.0,1029824.0,,1029824.0,,,,,,,,,,,
1997-12-01,xxi banorte,,303268.0,303268.0,,303268.0,,,,,,,,,,,
1998-01-01,banamex,,1385785.0,1385785.0,,1385785.0,,,,,,,,,,,
1998-01-01,inbursa,,297937.0,297937.0,,297937.0,,,,,,,,,,,
1998-01-01,principal,,71317.0,71317.0,,71317.0,,,,,,,,,,,
1998-01-01,profuturo,,1427482.0,1427482.0,,1427482.0,,,,,,,,,,,
1998-01-01,sura,,1057421.0,1057421.0,,1057421.0,,,,,,,,,,,
1998-01-01,xxi banorte,,312969.0,312969.0,,312969.0,,,,,,,,,,,
1998-02-01,banamex,,1397784.0,1397784.0,,1397784.0,,,,,,,,,,,
1998-02-01,inbursa,,301413.0,301413.0,,301413.0,,,,,,,,,,,
1998-02-01,principal,,75141.0,75141.0,,75141.0,,,,,,,,,,,
1998-02-01,profuturo,,1456406.0,1456406.0,,1456406.0,,,,,,,,,,,
1998-02-01,sura,,1076974.0,1076974.0,,1076974.0,,,,,,,,,,,
1998-02-01,xxi banorte,,322342.0,322342.0,,322342.0,,,,,,,,,,,
1998-03-01,banamex,,1406508.0,1406508.0,,1406508.0,,,,,,,,,,,
1998-03-01,inbursa,,302582.0,302582.0,,302582.0,,,,,,,,,,,
1998-03-01,principal,,79315.0,79315.0,,79315.0,,,,,,,,,,,
1998-03-01,profuturo,,1480946.0,1480946.0,,1480946.0,,,,,,,,,,,
1998-03-01,sura,,1091947.0,1091947.0,,1091947.0,,,,,,,,,,,
1998-03-01,xxi banorte,,334124.0,334124.0,,334124.0,,,,,,,,,,,
1998-04-01,banamex,,1416490.0,1416490.0,,1416490.0,,,,,,,,,,,
1998-04-01,inbursa,,303612.0,303612.0,,303612.0,,,,,,,,,,,
1998-04-01,principal,,83055.0,83055.0,,83055.0,,,,,,,,,,,
1998-04-01,profuturo,,1499879.0,1499879.0,,1499879.0,,,,,,,,,,,
1998-04-01,sura,,1108559.0,1108559.0,,1108559.0,,,,,,,,,,,
1998-04-01,xxi banorte,,343727.0,343727.0,,343727.0,,,,,,,,,,,
1998-05-01,banamex,,1437509.0,1437509.0,,1437509.0,,6163.87,,3.0,6538.76,13613.76,7075.0,,,,
1998-05-01,inbursa,,307209.0,307209.0,,307209.0,,2703.41,,1.98,2914.67,5130.52,2215.85,,,,
1998-05-01,principal,,86714.0,86714.0,,86714.0,,137.06,,0.03,194.24,335.23,140.99,,,,
1998-05-01,profuturo,,1530132.0,1530132.0,,1530132.0,,860.6,,0.69,1092.45,2751.83,1659.38,,,,
1998-05-01,sura,,1140061.0,1140061.0,,1140061.0,,1180.2,,0.99,1320.42,2613.28,1292.87,,,,
1998-05-01,xxi banorte,,354266.0,354266.0,,354266.0,,870.55,,0.11,921.02,2912.08,1991.06,,,,
1998-06-01,banamex,,1453052.0,1453052.0,,1453052.0,,6570.51,,4.05,6942.23,14351.13,7408.9,,,,
1998-06-01,inbursa,,308161.0,308161.0,,308161.0,,2919.16,,4.77,3111.78,5514.07,2402.29,,,,
1998-06-01,principal,,88653.0,88653.0,,88653.0,,157.08,,0.03,210.86,380.74,169.88,,,,
1998-06-01,profuturo,,1543649.0,1543649.0,,1543649.0,,1665.55,,0.8,1835.02,4757.87,2922.85,,,,
1998-06-01,sura,,1162092.0,1162092.0,,1162092.0,,1593.46,,1.19,1781.68,4885.6,3103.92,,,,
1998-06-01,xxi banorte,,362785.0,362785.0,,362785.0,,1724.15,,0.12,1769.42,3881.18,2111.77,,,,
1998-07-01,banamex,,1467159.0,1467159.0,,1467159.0,,7182.9,,4.96,7701.22,15516.1,7814.88,,,,
1998-07-01,inbursa,,309216.0,309216.0,,309216.0,,3609.15,,7.03,3806.35,7371.29,3564.94,,,,
1998-07-01,principal,,91379.0,91379.0,,91379.0,,180.85,,0.03,236.25,465.6,229.35,,,,
1998-07-01,profuturo,,1552213.0,1552213.0,,1552213.0,,2668.1,,0.98,2811.25,5918.49,3107.24,,,,
1998-07-01,sura,,1182633.0,1182633.0,,1182633.0,,2950.51,,1.44,3127.82,6532.1,3404.29,,,,
1998-07-01,xxi banorte,,375695.0,375695.0,,375695.0,,1850.85,,0.12,1905.02,4464.49,2559.47,,,,
1998-08-01,banamex,,1486344.0,1486344.0,,1486344.0,,7359.77,,5.1,7856.66,15791.47,7934.81,,,,
